id,topic,treatment,submission,duration,accuracy_local,accuracy_global,effort,difficulty,num_sentences,num_clusters,local_cohesion,num_concepts,num_coh_sentences,num_non_coh_sentences,num_relations,global_cohesion,color_coding,cmap
ka18an89,revision,cmap-integrated,2018-02-14T10:33:49Z,886.442,50,50,3,3,9,3,0.625,20,5,3,30,2.5,color_coding,cmap
ka28ma61,transfer,control-group,2018-01-31T15:36:16Z,797.053,50,50,4,6,19,6,0.222222222222,28,4,14,41,0.5,no_color_coding,no-cmap
ka28ma61,draft,cmap,2018-01-31T15:17:33Z,922.954,49,52,5,3,15,5,0.214285714286,36,3,11,51,1.5,no_color_coding,cmap
ka28ma61,revision,cmap,2018-01-31T15:17:33Z,548.748,47,53,4,2,15,4,0.214285714286,36,3,11,50,2,no_color_coding,cmap
ki13ul91,transfer,control-group,2018-01-18T17:38:19Z,935.836,75,23,3,4,11,2,0.5,28,5,5,37,2.5,no_color_coding,no-cmap
ki13ul91,draft,cmap-integrated,2018-01-18T17:16:01Z,901.427,45,60,4,2,13,2,0.416666666667,20,5,7,36,2,color_coding,cmap
ki13ul91,revision,cmap-integrated,2018-01-18T17:16:01Z,958.269,95,50,3,2,13,1,0.416666666667,22,5,7,43,2.5,color_coding,cmap
kl02ch54,transfer,control-group,2018-01-12T08:42:29Z,877.579,78,71,4,6,11,5,0.2,31,2,8,35,2,no_color_coding,no-cmap
kl02ch54,draft,control-group,2018-01-12T08:23:13Z,873.844,85,95,1,6,12,3,0.363636363636,29,4,7,68,2.5,no_color_coding,no-cmap
kl02ch54,revision,control-group,2018-01-12T08:23:13Z,772.595,100,100,2,5,13,3,0.333333333333,29,4,8,73,2.5,no_color_coding,no-cmap
kr28ut98,transfer,control-group,2018-01-12T14:51:53Z,851.282,50,60,2,1,13,1,0.583333333333,22,7,5,35,2.5,no_color_coding,no-cmap
kr28ut98,draft,cmap-integrated,2018-01-12T14:32:19Z,951.757,65,40,3,3,20,3,0.421052631579,34,8,11,48,2,color_coding,cmap
kr28ut98,revision,cmap-integrated,2018-01-12T14:32:19Z,957.812,75,50,3,2,20,2,0.473684210526,38,9,10,66,2.5,color_coding,cmap
kue21th37,transfer,control-group,2018-01-25T15:46:07Z,910.879,96,89,1,2,13,1,0.583333333333,36,7,5,94,3,no_color_coding,no-cmap
kue21th37,draft,integrated,2018-01-25T15:23:39Z,912.342,53,70,3,5,13,1,0.666666666667,22,8,4,41,2,color_coding,no-cmap
kue21th37,revision,integrated,2018-01-25T15:23:39Z,960.671,91,94,3,3,18,1,0.764705882353,32,13,4,78,3,color_coding,no-cmap
la20al17,transfer,control-group,2018-01-18T15:43:46Z,915.285,76,70,2,3,14,2,0.615384615385,38,8,5,85,3.5,no_color_coding,no-cmap
la20al17,draft,control-group,2018-01-18T15:24:20Z,943.764,72,55,2,4,15,1,0.642857142857,33,9,5,134,3.5,no_color_coding,no-cmap
la20al17,revision,control-group,2018-01-18T15:24:20Z,958.277,91,87,2,4,19,1,0.722222222222,45,13,5,145,4,no_color_coding,no-cmap
loe05ol31,transfer,control-group,2018-01-05T08:41:48Z,865.378,75,65,4,6,11,1,0.5,39,5,5,93,3,no_color_coding,no-cmap
loe05ol31,draft,cmap,2018-01-05T08:22:29Z,817.71,55,24,3,3,17,1,0.75,29,12,4,44,1,no_color_coding,cmap
loe05ol31,revision,cmap,2018-01-05T08:22:29Z,915.852,86,30,3,7,23,1,0.5,36,11,11,60,2,no_color_coding,cmap
loe14as92,transfer,control-group,2018-01-18T17:38:07Z,934.67,36,43,2,2,14,1,0.615384615385,35,8,5,76,2.5,no_color_coding,no-cmap
loe14as92,draft,cmap,2018-01-18T17:15:31Z,902.141,59,83,3,7,17,2,0.625,34,10,6,47,2.5,no_color_coding,cmap
loe14as92,revision,cmap,2018-01-18T17:15:31Z,961.815,73,72,2,3,23,1,0.454545454545,47,10,12,78,3.5,no_color_coding,cmap
lu04do40,transfer,control-group,2018-02-06T16:51:08Z,904.078,50,70,2,3,8,4,0.142857142857,18,1,6,15,2,no_color_coding,no-cmap
lu04do40,draft,control-group,2018-02-06T16:33:00Z,747.042,30,60,4,3,7,1,0.833333333333,15,5,1,27,2.5,no_color_coding,no-cmap
lu04do40,revision,control-group,2018-02-06T16:33:00Z,749.243,70,70,2,6,5,1,0.75,14,3,1,25,2.5,no_color_coding,no-cmap
lu19ul50,transfer,control-group,2018-01-26T14:28:29Z,897.658,19,33,2,1,8,1,0.857142857143,22,6,1,40,1.5,no_color_coding,no-cmap
lu19ul50,draft,cmap,2018-01-26T14:07:24Z,792.208,30,69,2,3,9,2,0.625,11,5,3,20,2,no_color_coding,cmap
lu19ul50,revision,cmap,2018-01-26T14:07:24Z,783.684,85,93,3,3,10,1,0.888888888889,13,8,1,24,3,no_color_coding,cmap
ma09si52,transfer,control-group,2018-06-08T13:53:54Z,805.895,80,90,2,4,8,5,0.285714285714,35,2,5,69,1.5,no_color_coding,no-cmap
ma09si52,draft,cmap-integrated,2018-06-08T13:33:19Z,504.616,56,41,4,4,5,1,0.5,11,2,2,23,1,color_coding,cmap
ma09si52,revision,cmap-integrated,2018-06-08T13:33:19Z,494.302,77,73,3,4,8,2,0.428571428571,21,3,4,38,2,color_coding,cmap
ma13ba26,transfer,control-group,2018-03-14T10:43:20Z,906.358,33,63,4,3,13,2,0.333333333333,37,4,8,77,3,no_color_coding,no-cmap
